labelIds,snippet,sizeEstimate,internalDate,subject,body
UNREAD IMPORTANT CATEGORY_FORUMS TRASH,,567443,2023-01-12 06:58:54.000,Congratulations Team VIT - DESH Department for Receiving Best Paper Award,"[image: image.png]
"
UNREAD CATEGORY_UPDATES SPAM,A picture containing text Description automatically generated Queries? Write to springboard-support@infosys.com,6185800,2023-01-09 16:54:47.000,Top 10 Learners of December 2022 are..!,"
[A picture containing text  Description automatically generated]<https://infyspringboard.onwingspan.com/web/en/viewer/video/lex_auth_01370027202694348813>

Queries? Write to springboard-support@infosys.com<mailto:springboard-support@infosys.com>


"
IMPORTANT CATEGORY_FORUMS INBOX,All students who have applied for the NTU india connect internship program (summer) via Google form must report to the Board Room (Director office) at 12 noon tomorrow for an interview. Again only,15820,2023-01-23 18:09:12.000,Re: NTU India Connect Summer Internship,"All students who have applied for the NTU india connect internship program
(summer) via Google form must report to the Board Room (Director office) at
12 noon tomorrow for an interview.

Again only students who have applied must come for the interview.

Please come with relevant documents

Thank you.

On Sat, Jan 21, 2023 at 9:45 PM Dean - International Relations VIT, Pune <
dean.ir@vit.edu> wrote:

> Dear Student,
>
>   If you are interested in NTU India Connect Summer Internship then please
> fill out this form
>
>
> https://docs.google.com/forms/d/e/1FAIpQLSc7aKMlI03ezHMYMw5ipLSEU2nkzRRNsoBVkq54_rfoSWYTwQ/viewform?usp=sf_link
>
>
>
>  Please see the details on the website
> https://www.ntu.edu.sg/about-us/global/india-connect-ntu/programme-details
>
> The summer internship period is 10 May 2023 – 23 July 2023   and
> application deadline to NTU Singapore  31st Jan 2023.
>
> Nomination letter from VIT is mandatory for this Internship.
>
> Eligibility: Student must have competed 5 semesters of UG study.
> *Please note that cost of study travel stay and food will be bourn by
> student only. Cost will be 4 to 6 Lakh Rs for the internship.*
>
> The process of applications is as follows
> 1. All interested students must fill out this Google form  by  23 th Jan
> 2023.
> 2. After that interviews will be held for interaction with the student.
> 3. Final list of nominated students will be made by 27th Jan.
> 4. The finalized students must apply on NTU Singapore website by 31Jan
> 2023 and submit all necessary documents.
>
>
>
"
IMPORTANT CATEGORY_FORUMS INBOX,"DO CHECK WEBSITE BEFORE SUBMITTING I am not aware about whether conferences will published paper in scopus or not Thank You and Regards, Prof. Pankaj Kunekar Assistant Professor Department of IT",27078,2022-09-21 13:26:34.000,Confernces,"*DO CHECK WEBSITE BEFORE SUBMITTING*


*I am not aware about whether conferences will published paper in scopus or
not*


*Thank You and Regards,*
*Prof. Pankaj Kunekar*
*Assistant Professor*

*Department of IT*
*Department of AI & DS*
*Vishwakarma Institute of Technology, Pune*
*Contact: 8237626369, 9075879342*
"
UNREAD CATEGORY_UPDATES,Attention Fall 2023 applicants! Converge brings you a final chance to engage with leading international universities from top study abroad destinations at the Converge UniDirect: Virtual Education Fair,18551,2023-01-03 20:21:47.000,Interact with 50+ Universities from Top Study Abroad Destinations!,
IMPORTANT CATEGORY_UPDATES INBOX,"Dear Students, Please do registration for JP Morgan Internship + PPO for 2024 batch. Deadline is Tomorrow , 29th Feb. 2022 , 4.30 pm TPO Link : https://forms.gle/vo5K2wuHMDjkQXX68 Wrong / incomplete",19420,2022-02-28 16:41:16.000,Registration for J P Morgan Internship + PPO for 2024 batch,"Dear Students,

Please do  registration for  J P Morgan Internship + PPO  for 2024  batch.

*Deadline is  Tomorrow  , 29th  Feb. 2022 ,  4.30 pm *


*TPO Link :  https://forms.gle/vo5K2wuHMDjkQXX68
<https://forms.gle/vo5K2wuHMDjkQXX68>*
Wrong / incomplete Entries and students not meeting eligibility criteria
will not be forwarded by Central T & P Office to any organization. This
Campus Drive is only for Unplaced Students.

 Thanks.
A.S. Mitragotri
TPO,
VIT


[image: Google Forms]
I've invited you to fill out a form:
JP Morgan Internship + PPO 2024
<https://docs.google.com/forms/d/e/1FAIpQLSdJYM-hzXKN_BiQ7nQ3qm1kdnkva2dmi7WvBuTohaBp5lFxWw/viewform?vc=0&c=0&w=1&flr=0&usp=mail_form_link>
Eligible Branches : B.Tech. CS, IT,E&TC ,Electronics,AIDS
Eligibility Criteria : with minimum aggregate 7 CGPA [until date] in
engineering course
Stipend : 50000/month
PPO : 15 lpa
Please note Internship will be in next semester.
-------------------------------------------------------------------------------------------------------
Greetings from JP Morgan Chase & Co.!

As we embark on the campus hiring journey for the 2023 Software Engineer
Full-Time and Internship Programs, we would like to kick-start the process
with the Software Engineer Program Roadshow flagship event. We invite
students from your esteemed institute to participate in this event. The
event details are mentioned in the attached invite. Request you to share
the invite with the eligible students and encourage them to participate in
big numbers.
The student eligibility criteria, in order to apply for the Software
Engineer Program, are as follows:
Degrees: B.Tech./B.E./MCA
2023 Batch Pass-outs [eligible for Full-Time opportunity]
2024 Batch Pass-outs [eligible for Internship opportunity]
Streams or Specializations: Computer Science/Information Science/
Information Technology/Data Science/Artificial Intelligence/Big
Data/IoT/Electronics/ Electrical/Electronics and Telecommunications etc.
A well-rounded academic background with minimum aggregate 7 CGPA [until
date] in engineering course
Fill out form
<https://docs.google.com/forms/d/e/1FAIpQLSdJYM-hzXKN_BiQ7nQ3qm1kdnkva2dmi7WvBuTohaBp5lFxWw/viewform?vc=0&c=0&w=1&flr=0&usp=mail_form_link>
Create your own Google Form
<https://docs.google.com/forms?usp=mail_form_link>
"
CATEGORY_FORUMS INBOX,"https://www.tomtom.com/careers/global-student-hackathon/ Deepali Joshi, Assistant Professor, Industry Relation Officer, IT Department, VIT-Pune. On Thu, Nov 3, 2022 at 3:32 PM deepali joshi &lt;deepali",388360,2022-11-03 15:38:24.000,Re: Registration for TomTom n.EXT Hackathon is live - Start Registering,"[image: image.png]

https://www.tomtom.com/careers/global-student-hackathon/


Deepali Joshi,
Assistant Professor,
Industry Relation Officer,
 IT Department,
VIT-Pune.







On Thu, Nov 3, 2022 at 3:32 PM deepali joshi <deepali.joshi@vit.edu> wrote:

>
> Hello All,
> It is highly recommended to participate in this International
> Hackathon organized by tomtom and bring laurels to our Institute.
> The Prizes are really very exciting!Do check the details in the attachment.
>
>
> Deepali Joshi,
> Assistant Professor,
> Industry Relation Officer,
>  IT Department,
> VIT-Pune.
>
>
> Hello Prof. Deepali,
>
>
>
> I hope you’ve been keeping well.
>
>
>
> I’m happy to share that *registration for TomTom* *n.EXT* *is officially
> live*! Your students can start registering on our TomTom n.EXT webpage.
> When they visit the page, they’ll also learn all about what the event is,
> what they'll be doing, and more.
>
>
>
> *VISIT THE TOMTOM N.EXT REGISTRATION WEBPAGE
> <https://www.tomtom.com/careers/global-student-hackathon/?nocache>*
>
>
>
> To make your lives easier in spreading the word, we are attaching some
> promotional materials. However, we will be sending some more materials to
> your College address shortly.
>
>
>
> Kindly ask the students to register as soon as possible. It is a great
> opportunity for them to grab an exciting Internship with us, and many gift
> hampers as well.
>
>
>
> Of course, feel free to reach out if you have any questions not addressed
> on the webpage.
>
>
>
> Looking forward to having your students join us!
>
>
>
> Stay Tuned for more details !!
>
>
>
>
>
> Thanks & Regards
>
> *Amruta Rajimwale* | Talent Acquisition Consultant | amruta.rajimwale
> @tomtom.com <http://amruta.rajimwale%20@tomtom.com> | Mobile—7978687413|
> www.tomtom.com
>
>
>
>
>
"
UNREAD CATEGORY_UPDATES,"Dear Student, 📣Kick Start your Placement Preparation Today with LIVE Workshop by Talent Battle at Just Rs.99/- ⌛LIVE Workshop starts tomorrow! 🔗 Registration Link: https://talentbattle.in/prepare/",6736,2023-01-04 21:51:47.000,"5 days Aptitude Workshop starts Tomorrow! By Talent Battle Expert
 Trainers!",
CATEGORY_FORUMS INBOX,"Dear Students, Find attached time table for CVV/GD/EDI/DAI/Major Project Exam AY 2021-22_Sem-I Thanks, Exam Coordinator -- Dr. Ashutosh M. Kulkarni, Faculty, Department of Information Technology",44852,2022-01-06 14:48:53.000,Time Table CVV/GD/EDI/DAI/Major Project Exam AY 2021-22_Sem-I,"Dear Students,
Find attached time table for
CVV/GD/EDI/DAI/Major Project Exam AY 2021-22_Sem-I


Thanks,
Exam Coordinator
*--*



*Dr. Ashutosh M. Kulkarni,*
Faculty, Department of Information Technology

Vishwakarma Institute of Technology, Pune-37
Phone  : +91 9623132111
"
CATEGORY_UPDATES INBOX,ELP gives you a chance to get technical experience at a very early stage of your education and develop skills by working on problems first-hand. Hello Studustry&#39;s ELP is a specially designed,71152,2021-06-10 08:00:19.000,"Studustry's ELP (Experiential Learning Program) - Gain valuable
 experience & rewards by enrolling","b""ELP gives you a chance to get technical experience at a very early stage of your education and develop skills by working on problems first-hand.\r\n\r\nHello \r\n\r\nStudustry's ELP is a specially designed program for you to get introduced to research and develop real world skills like problem solving, critical thinking, time management and much more.\r\n\r\nAs promised, we are sharing the link for all the ELP batches that are open for registration currently. Please click on the button below to take a look and enroll into one of them.\r\n\r\nWe promise, it will be an amazing experience for you and you will add a lot of valuable things to your skillset.\r\n\r\nELP Batches Available ( https://airtable.com/shrWuL1P0HCnT3o6Q/tblzo4uC3e4oWP7zZ )\r\n\r\nIn today's education landscape, it is very important to add real project experience to your resume along with the coursework that you complete in college.\r\n\r\nIt's a special program to introduce young talent to research and have them interact with other students and learn by solving real world problems.\r\n\r\nYou will be part of a cohort of 15-30 students each working on their own research. You will also get to interact with industry professionals, get feedback and rating and learn along with your peers.\r\n\r\nRewards -\r\n\r\n* Receive feedback from industry professionals and showcase your work\r\n* Receive a Certificate of participation and LoR\r\n* Rewards\xa0up to Rs. 1500 to students who do well\r\n* Weekly thought-provoking sessions online\r\n\r\nWho should you participate?\r\n\r\n* Students who wish to explore a new way of learning which is not governed by exams and assignments\r\n* Students who are willing to give 5-6 hrs in a week to work on the project\r\n* Students who wish to have purposeful interaction with peers and \xa0professionals\r\n\r\nPlease do let us if you have any more questions about this \xa0and I will do my best to get them resolved.\r\nDon't wait! Sign-up now!\r\n\r\nELP Topics Available ( https://airtable.com/shrWuL1P0HCnT3o6Q/tblzo4uC3e4oWP7zZ )\r\n\r\nDon't wait! Enroll ASAP as we have limited seats for each batch.\r\n\r\nIf you are already a part of a current ELP batch, use this email to show interest in participating in future ELP batches.\r\n\r\nWe are adding new batches every week, so keep visiting this link regularly to check out where you can participate next.\r\n\r\nUpgrade yourself! ( https://airtable.com/shrWuL1P0HCnT3o6Q/tblzo4uC3e4oWP7zZ )\r\n\r\nUse this link ( https://api.whatsapp.com/send?phone=919175188287 ) if you would like to ask questions about the project.\r\nStudustry is a startup based in Pune & Aurangabad bringing the concept of project based learning to colleges in India. Look for our LinkedIn page to learn more about us.\r\n\r\n( https://www.facebook.com/studustry/ ) ( https://twitter.com/studustry?lang=en ) ( https://www.instagram.com/studustry/?hl=en ) ( https://www.linkedin.com/company/studustry/ )\r\n\r\nVenugopal\r\n\r\nPaithan Road Itkheda , Aurangabad ,  431001\r\n\r\nUnsubscribe ( http://url4692.studustry.com/asm/unsubscribe/?user_id=18854668&data=zNk3BdkgKTD-BDXw2BYFKO3NOn-2yF5IYRAeM_xND1cKQdA_qCAjB5EQ5Ynv27SAeCb3FK4lk0dPFRV2hxg0m9UermhLMdBDrkWZ3qk4-UpYheWQjfMCFz2th87huA_WoFe_LTwLMXww8Yjh_o1IyXbuJn8n4Ni3QTAsPDzSik_vEOeANflZddKHnJt2RhjmAr5clZds9ENEEmg2LIxvc0QeamPesnjFrDLXZKae8Yblsta1U13HFzg26-IYjzzN5DaN9MNvAYDQwagtE1O3uLEyK9aBVRWE6oEN0K3x1OvILvBSLVyOXwXu2lOP-NKtU1YWKxiw5-93PTWUX_P9p5ksFP6cqjVseIR0sHr9M8NfdGnjlP3l5jUKKE34t51cOiSd-rXhg-goabQgz614ISGlrlv6LAeUMDwZJ6aht1S3UkMX0sSQzN-0P1GbhYMhRgm3ZuvuM0boqynEAnubJYsFIj5RZmKJJHHkjTM9CKOi8EF_A0de-3zwMVsi1v2xpON2yMMn4wD61idGHSmGUsCzQGKbMoNfzNU1vC5nzrv3RARF6s1gSDA0Nn3xuu_bEXPu7qJwoP9i44ksdw05_GguAUxLvW05bv3ndyBTExnxxPAogIBCkrneR69cEJ10lX9alnfkSQJxQCqTZMz-lcMBTtQJQJtaiZjZ29621bTnwb6Ty9muCcoiMJpg5xkyQRuk1eos0B3xuIS6BeFnUYlqdmbB6AVuXmJppE8VudFfY4XFIIjrPjEazhrlvRDB5AoDvTsr5geRB39ZjOSOZLcGF7nTH0tjL7yUKmr9ZKMed2sRwT7846uY0C0pYMaqBVfXL7kHBb7u6tV7Z14pupMWP3sd0R_cjM6B5UAYSpDxdLFYo2a-Q-wL9MdxNsQBQApQuklWp5dHTi2deIiWXaXPKvOYnUMKWbUcl8Y9eC-Z0MFRa9w-VDuhSVH6q7JNT1yrDXZ55db6ZIQSjzOsJ4bdxiZ2EHlDiFDVD2c-2pBNrtSyUK3FQ4GxhrIX_tD0EXeVN6szeoGyIccgxkhGkU7FdmvSuTiaUQapv68wy2vHR1PbhgrkkaTtunc8XqZFd72YqeloduGtoMxiB2Gybg1t3D48Uj1TgJOEkgqOKDQz26eoNfvs0YMcgNes7tNXy0kdoYwjRyexd_SdkfPF8Q== )"""
